date,R/A,id,fragments,boat_g,boat_blotted_g,boat_DM_g,tin_g,tin_DM_g,tin_ash_g
8-Mar,R,R-1,2,1.7092,1.871,1.7781,0.9653,1.0323,0.9686
8-Mar,R,R-2,2,1.7168,1.888,1.7912,1.0028,1.0742,1.006
8-Mar,R,R-3,2,1.7568,1.9049,1.8199,1.0036,1.0647,1.0064
8-Mar,R,R-4,2,1.7341,1.8843,1.8013,0.9967,1.0606,0.9993
8-Mar,R,R-5,2,1.7132,1.8684,1.7749,1,1.0599,1.0024
8-Mar,R,R-6,2,1.788,1.9031,1.842,0.9949,1.047,0.9969
8-Mar,R,R-7,2,1.6929,1.8608,1.7635,1.0936,1.1619,1.0963
8-Mar,R,R-8,2,1.8189,2.005,1.8975,0.9972,1.0708,1.0007
8-Mar,R,R-9,2,1.7385,1.957,1.8277,1.0065,1.0947,1.0107
8-Mar,R,R-10,2,1.7948,1.9466,1.8593,0.979,1.0404,0.9817
8-Mar,R,R-11,2,1.7094,1.8244,1.7591,1.1363,1.1835,1.1375
8-Mar,R,R-12,2,1.7457,1.9344,1.8241,0.9719,1.0495,0.9756
8-Mar,R,R-13,2,1.7612,1.8936,1.8208,0.994,1.0521,0.9963
8-Mar,R,R-14,2,1.7719,1.914,1.8318,1.1055,1.1638,1.1083
8-Mar,R,R-15,2,1.7498,1.9568,1.825,1.1373,1.2108,1.1401
8-Mar,R,R-16,2,1.7801,1.9247,1.846,1.1495,1.2137,1.1509
8-Mar,R,R-17,2,1.7571,1.9161,1.8268,0.9783,1.0467,0.981
8-Mar,R,R-18,2,1.679,1.8627,1.7586,0.9688,1.0467,0.9721
8-Mar,R,R-19,2,1.7158,1.8622,1.7796,1.0031,1.0643,1.004
8-Mar,R,R-20,2,1.8097,1.9466,1.8731,1.0178,1.0793,1.0152
8-Mar,R,R-21,2,1.8365,2.0285,1.9182,0.9649,1.0466,0.9672
8-Mar,R,R-22,2,1.7925,1.9982,1.8745,0.9805,1.0618,0.9843
8-Mar,R,R-23,2,1.7468,1.8749,1.8028,1.1262,1.1818,1.1283
8-Mar,R,R-24,2,1.7806,1.9469,1.8567,0.9835,1.0595,0.9821
8-Mar,R,R-25,2,1.7075,1.8893,1.7854,0.9724,1.0465,0.9761
8-Mar,R,R-26,2,1.7367,1.8507,1.7854,0.9991,1.045,1.0012
8-Mar,R,R-27,2,1.7217,1.879,1.7891,1.0224,1.0894,1.0253
8-Mar,R,R-28,2,1.7381,1.8708,1.7959,0.9946,1.051,0.9971
8-Mar,R,R-29,2,1.7999,1.9451,1.866,1.2207,1.2849,1.2211
8-Mar,R,R-30,2,1.7962,1.9273,1.8506,1.2491,1.3022,1.2511
8-Mar,A,A-1,3,1.7597,1.9448,1.8019,0.9946,1.0358,0.9989
8-Mar,A,A-2,3,1.8243,1.9712,1.8629,0.9754,1.0135,0.9788
8-Mar,A,A-3,3,1.7873,1.9364,1.8263,0.9776,1.0162,0.9808
8-Mar,A,A-4,3,1.7128,1.8402,1.7524,1.02,1.0595,1.024
8-Mar,A,A-5,3,1.6603,1.7622,1.696,1.2472,1.2827,1.2504
8-Mar,A,A-6,3,1.7131,1.9101,1.7626,0.9757,1.024,0.9805
8-Mar,A,A-7,3,1.6888,1.865,1.7276,0.9903,1.0291,0.9957
8-Mar,A,A-8,3,1.7346,1.9024,1.7781,1.017,1.0602,1.0226
8-Mar,A,A-9,3,1.7139,1.8294,1.7501,0.9967,1.032,0.9997
8-Mar,A,A-10,3,1.632,1.7317,1.6641,1.0131,1.045,1.0141
8-Mar,A,A-11,3,1.8191,1.9562,1.8487,0.9691,0.9981,0.9732
8-Mar,A,A-12,3,1.797,1.9186,1.8277,1.2388,1.2674,1.2409
8-Mar,A,A-13,3,1.7081,1.886,1.7505,1.0023,1.0446,1.0087
8-Mar,A,A-14,3,1.7807,1.9353,1.8211,0.9829,1.0234,0.9876
8-Mar,A,A-15,3,1.8628,1.8523,1.7807,1.0318,1.0677,1.035
8-Mar,A,A-16,3,1.7239,1.8908,1.7598,1.0054,1.0399,1.0097
8-Mar,A,A-17,3,1.8718,1.9892,1.8998,1.0122,1.0379,1.0087
8-Mar,A,A-18,3,1.7116,1.8773,1.7504,0.9865,1.0247,0.9904
8-Mar,A,A-19,3,1.8828,2.041,1.9197,1.0033,1.0389,1.0085
8-Mar,A,A-20,3,1.7309,1.9168,1.7723,1.0024,1.0426,1.0067
8-Mar,A,A-21,3,1.7901,1.9063,1.8128,0.9729,0.9948,0.9754
8-Mar,A,A-22,3,1.8543,2.017,1.8904,1.2327,1.2676,1.2389
8-Mar,A,A-23,3,1.8159,1.9637,1.8563,0.965,1.0013,0.9686
8-Mar,A,A-24,3,1.6798,1.7956,1.7049,1.0075,1.0324,1.0101
8-Mar,A,A-25,3,1.7965,2.0016,1.8515,0.9708,1.0259,0.9776
8-Mar,A,A-26,3,1.784,1.9296,1.8131,0.994,1.0224,0.9956
8-Mar,A,A-27,3,1.925,2.0708,1.9575,0.9983,1.0303,1.0026
8-Mar,A,A-28,3,1.8752,2.1052,1.9302,0.9763,1.0289,0.9821
8-Mar,A,A-29,3,1.9337,2.1081,1.9685,1.015,1.0482,1.019
8-Mar,A,A-30,3,1.8325,1.992,1.8631,1.0027,1.0331,1.0058
