trial#,date.start,date.end,days,treatment,channel, chamber,species,type,fragments,boat.g,boat.blot.g,fp.g,fp.PCLDM.g,tin.mass.g,tin.dm.g,tin.ash.g,notes
CT1,2019-03-12,2019-03-20,8,2,2A,A001,A,microbes,3,1.8472,2.0798,0.3698,NA,NA,NA,NA,Microbes
CT1,2019-03-12,2019-03-20,8,2,2A,A002,A,microbes,3,1.8501,2.0428,0.3831,0.4216,0.9962,1.0318,1.0061,Microbes
CT1,2019-03-12,2019-03-20,8,2,2A,A003,A,bug,3,1.8053,2.0281,0.3507,0.387,1.0034,1.0373,,
CT1,2019-03-12,2019-03-20,8,2,2A,A004,A,bug,3,1.859,2.0605,0.369,0.4063,0.9999,1.0338,1.0067,
CT1,2019-03-12,2019-03-20,8,2,2A,A005,A,bug,3,1.7944,2.0377,0.3334,0.3764,0.9654,1.0063,0.972,
CT1,2019-03-12,2019-03-20,8,2,2A,A006,A,bug,3,1.8287,2.0381,0.3378,0.3774,1.0025,1.0393,1.012,
CT1,2019-03-12,2019-03-20,8,2,2A,A007,A,bug,3,1.7488,2.0483,0.3833,NA,NA,NA,NA,bug dead
CT1,2019-03-12,2019-03-20,8,2,2A,A008,A,bug,3,1.8889,2.1172,0.2936,NA,NA,NA,NA,Empty foil packet (reason unknown)
CT1,2019-03-12,2019-03-20,8,2,2A,A009,A,bug,3,1.7789,2.0243,0.3677,0.4044,1.0063,1.0387,1.0143,
CT1,2019-03-12,2019-03-20,8,2,2A,A010,A,bug,3,1.8515,2.1114,0.3484,0.397,0.9971,1.0425,1.0075,
CT1,2019-03-12,2019-03-20,8,0,0C,A011,A,microbes,3,1.7331,1.8434,0.4217,NA,NA,NA,NA,Microbes
CT1,2019-03-12,2019-03-20,8,0,0C,A012,A,microbes,3,1.7526,1.9163,0.3385,0.3759,1.1054,1.1364,1.113,Microbes
CT1,2019-03-12,2019-03-20,8,0,0C,A013,A,bug,3,1.7045,1.8854,0.3861,0.4236,0.9947,1.0298,1.0015,
CT1,2019-03-12,2019-03-20,8,0,0C,A014,A,bug,3,1.7031,1.8758,0.3242,0.3598,1.1353,1.1655,1.1404,
CT1,2019-03-12,2019-03-20,8,0,0C,A015,A,bug,3,1.6832,1.8092,0.4559,0.4803,1.0933,1.1161,1.0981,
CT1,2019-03-12,2019-03-20,8,0,0C,A016,A,bug,3,1.8359,2.0073,0.4382,0.4664,1.1369,1.1629,,
