trial#,date.start,date.end,days,treatment,channel, chamber,species,type,fragments,boat.g,boat.blot.g,fp.g,fp.PCLDM.g,tin.mass.g,tin.dm.g,tin.ash.g,notes
CT2,27-Mar-19,3-Apr-19,7,2,2A,A001,A,microbes,3,1.8468,2.004,0.5076,0.5468,1.0116,1.0479,1.0165,
CT2,27-Mar-19,3-Apr-19,7,2,2A,A002,A,microbes,3,1.8722,2.067,NA,NA,NA,NA,NA,
CT2,27-Mar-19,3-Apr-19,7,2,2A,A008,A,bug,3,1.8856,2.0642,0.4316,0.467,1.2546,1.2893,1.2599,
CT2,27-Mar-19,3-Apr-19,7,2,2A,A009,A,bug,3,1.7833,1.9471,0.4283,0.4564,0.9998,1.0249,1.0031,
CT2,27-Mar-19,3-Apr-19,7,0,0C,A011,A,microbes,3,1.8503,2.0347,0.3298,0.3729,1.1309,1.1702,1.1381,
CT2,27-Mar-19,3-Apr-19,7,0,0C,A012,A,microbes,3,1.7762,1.9428,NA,NA,NA,NA,NA,
CT2,27-Mar-19,3-Apr-19,7,0,0C,A017,A,bug,3,1.6922,1.906,0.3574,0.3992,1.0039,1.0437,1.0089,
CT2,27-Mar-19,3-Apr-19,7,0,0C,A018,A,bug,3,1.8625,2.0269,0.3057,0.3425,1.1064,1.1422,1.1097,
CT2,27-Mar-19,3-Apr-19,7,4,4D,A021,A,microbes,3,1.7222,1.8914,0.318,0.3567,1.0975,1.134,1.1035,
CT2,27-Mar-19,3-Apr-19,7,4,4D,A022,A,microbes,3,1.7346,1.923,NA,NA,NA,NA,NA,
CT2,27-Mar-19,3-Apr-19,7,4,4D,A027,A,bug,3,1.7456,1.9476,0.3082,0.3501,1.0076,1.0482,1.0147,
CT2,27-Mar-19,3-Apr-19,7,4,4D,A028,A,bug,3,1.6687,1.816,0.3254,0.3547,0.9768,1.0053,0.9815,
CT2,27-Mar-19,3-Apr-19,7,3,3D,A031,A,microbes,3,1.7022,1.9263,0.4743,0.5341,0.9893,1.0433,0.9982,
CT2,27-Mar-19,3-Apr-19,7,3,3D,A032,A,microbes,3,1.7513,1.9453,NA,NA,NA,NA,NA,
CT2,27-Mar-19,3-Apr-19,7,3,3D,A037,A,bug,3,1.7732,1.9575,0.4908,0.5271,1.1392,1.1736,1.1445,
CT2,27-Mar-19,3-Apr-19,7,3,3D,A038,A,bug,3,1.8549,2.0255,0.4702,0.5061,0.9675,1.002,0.9734,
CT2,27-Mar-19,3-Apr-19,7,0,0A,A041,A,microbes,3,1.7326,1.9291,0.4686,0.5156,1.0016,1.046,1.0104,
CT2,27-Mar-19,3-Apr-19,7,0,0A,A042,A,microbes,3,1.7512,2.0076,NA,NA,NA,NA,NA,
CT2,27-Mar-19,3-Apr-19,7,0,0A,A047,A,bug,3,1.8114,1.9786,0.495,0.5375,1.2456,1.28,1.2501,
CT2,27-Mar-19,3-Apr-19,7,0,0A,A048,A,bug,3,1.7861,1.8949,0.4506,0.4675,1.0047,1.0185,1.0066,
CT2,27-Mar-19,3-Apr-19,7,0,0D,A051,A,microbes,3,1.8107,2.0113,0.3969,0.455,0.9886,1.0428,0.9994,
CT2,27-Mar-19,3-Apr-19,7,0,0D,A052,A,microbes,3,1.8305,2.0059,NA,NA,NA,NA,NA,
CT2,27-Mar-19,3-Apr-19,7,0,0D,A057,A,bug,3,1.7263,1.8526,0.464,0.4946,0.9873,1.0088,0.9898,
CT2,27-Mar-19,3-Apr-19,7,0,0D,A058,A,bug,3,1.6955,1.8851,0.4543,0.4807,0.9984,1.0177,1.001,
CT2,27-Mar-19,3-Apr-19,7,2,2B,A061,A,microbes,3,1.8197,1.9279,0.4463,0.4731,0.9811,1.0051,0.9862,
CT2,27-Mar-19,3-Apr-19,7,2,2B,A062,A,microbes,3,1.8275,2.0762,NA,NA,NA,NA,NA,
CT2,27-Mar-19,3-Apr-19,7,2,2B,A067,A,bug,3,1.8241,1.9845,0.4204,0.4461,1.0018,1.0262,1.0061,
CT2,27-Mar-19,3-Apr-19,7,2,2B,A068,A,bug,3,1.7013,1.9149,0.5395,0.5828,1.0139,1.0548,1.0203,
CT2,27-Mar-19,3-Apr-19,7,3,3A,A071,A,microbes,3,1.593,1.7236,0.5825,0.6179,0.9782,1.0069,0.9836,
CT2,27-Mar-19,3-Apr-19,7,3,3A,A072,A,microbes,3,1.6767,1.8447,NA,NA,NA,NA,NA,
CT2,27-Mar-19,3-Apr-19,7,3,3A,A077,A,bug,3,1.7988,1.9359,0.4503,0.4836,1.0212,1.0472,1.026,
CT2,27-Mar-19,3-Apr-19,7,3,3A,A078,A,bug,3,1.7868,1.9865,0.4618,0.5081,0.993,1.0308,1.0005,
CT2,27-Mar-19,3-Apr-19,7,2,2C,A081,A,microbes,3,1.7026,1.8964,0.4657,0.519,1.0218,1.0706,1.0303,
CT2,27-Mar-19,3-Apr-19,7,2,2C,A082,A,microbes,3,1.7793,1.914,NA,NA,NA,NA,NA,
CT2,27-Mar-19,3-Apr-19,7,2,2C,A087,A,bug,3,1.7443,1.9116,0.387,0.4226,1.0101,1.0444,1.017,
CT2,27-Mar-19,3-Apr-19,7,2,2C,A088,A,bug,3,1.7971,1.916,0.5248,0.5475,1,1.0192,1.0015,
CT2,27-Mar-19,3-Apr-19,7,1,1A,A091,A,microbes,3,1.6555,1.8201,0.3908,0.4391,1.226,1.2678,1.232,
CT2,27-Mar-19,3-Apr-19,7,1,1A,A092,A,microbes,3,1.7257,1.9384,NA,NA,NA,NA,NA,
CT2,27-Mar-19,3-Apr-19,7,1,1A,A097,A,bug,3,1.6158,1.8188,0.4726,0.5133,1.0023,1.039,1.0075,
CT2,27-Mar-19,3-Apr-19,7,1,1A,A098,A,bug,3,1.6902,1.9066,0.4589,0.5079,0.967,1.0051,0.9738,
CT2,27-Mar-19,3-Apr-19,7,4,4C,A101,A,microbes,3,1.7106,1.8273,0.5526,0.5763,1.0011,1.0234,1.0056,
CT2,27-Mar-19,3-Apr-19,7,4,4C,A102,A,microbes,3,1.777,1.8657,NA,NA,NA,NA,NA,
CT2,27-Mar-19,3-Apr-19,7,4,4C,A107,A,bug,3,1.7965,1.9468,0.5038,0.5336,1.2513,1.2795,1.2552,
CT2,27-Mar-19,3-Apr-19,7,4,4C,A108,A,bug,3,1.8059,1.9578,0.3985,0.4281,1.1158,1.1434,1.1197,
CT2,27-Mar-19,3-Apr-19,7,1,1B,A111,A,microbes,3,1.6858,1.827,0.3739,0.4077,1.2431,1.2743,1.2501,
CT2,27-Mar-19,3-Apr-19,7,1,1B,A112,A,microbes,3,1.764,1.8838,NA,NA,NA,NA,NA,
CT2,27-Mar-19,3-Apr-19,7,1,1B,A117,A,bug,3,1.7429,1.9365,0.3839,0.4289,1.0924,1.1349,1.0982,
CT2,27-Mar-19,3-Apr-19,7,1,1B,A118,A,bug,3,1.6917,1.8863,0.3882,0.4335,0.9663,1.0088,0.973,
CT2,27-Mar-19,3-Apr-19,7,1,1C,A121,A,microbes,3,1.8363,1.9764,0.3446,0.3812,1.1352,1.1677,1.1428,
CT2,27-Mar-19,3-Apr-19,7,1,1C,A122,A,microbes,3,1.8059,1.9742,NA,NA,NA,NA,NA,
CT2,27-Mar-19,3-Apr-19,7,1,1C,A127,A,bug,3,1.8239,1.9382,0.3344,0.3503,1.0205,1.0338,1.0224,
CT2,27-Mar-19,3-Apr-19,7,1,1C,A128,A,bug,3,1.7638,1.909,0.4103,0.436,1.1118,1.1359,1.115,
CT2,27-Mar-19,3-Apr-19,7,3,3B,A131,A,microbes,3,1.8403,1.9482,0.3827,0.4092,1.0045,1.0262,1.0096,
CT2,27-Mar-19,3-Apr-19,7,3,3B,A132,A,microbes,3,1.7993,1.986,NA,NA,NA,NA,NA,
