trial#,date.start,date.end,days,treatment,channel, chamber,species,type,fragments,boat.wt (g),boat+blotted wt (g),fp.wt (g),fp.PCLDM.wt (g),notes
CT1,12-Mar-19,20-Mar-19,8,2,2A,R001,R,microbes,2,1.8124,2.2117,0.3884,NA,Microbes
CT1,12-Mar-19,20-Mar-19,8,2,2A,R002,R,microbes,2,1.6831,2.0583,0.4758,0.5826,Microbes
CT1,12-Mar-19,20-Mar-19,8,2,2A,R003,R,bug,2,1.7099,1.986,0.4044,0.4885,
CT1,12-Mar-19,20-Mar-19,8,2,2A,R004,R,bug,2,1.8385,2.0378,0.387,0.4506,
CT1,12-Mar-19,20-Mar-19,8,2,2A,R005,R,bug,2,1.6291,1.8541,0.4593,0.5276,
CT1,12-Mar-19,20-Mar-19,8,2,2A,R006,R,bug,2,1.9272,2.2138,0.4059,0.485,
CT1,12-Mar-19,20-Mar-19,8,2,2A,R007,R,bug,2,1.6147,1.8231,0.3553,0.4184,
CT1,12-Mar-19,20-Mar-19,8,2,2A,R008,R,bug,2,1.738,2.0345,0.4261,0.5242,
CT1,12-Mar-19,20-Mar-19,8,2,2A,R009,R,bug,2,1.643,2.008,0.419,0.5184,
CT1,12-Mar-19,20-Mar-19,8,2,2A,R010,R,bug,2,1.7489,2.0276,0.3719,0.448,
CT1,12-Mar-19,20-Mar-19,8,2,2A,A001,A,microbes,3,1.8472,2.0798,0.3698,NA,Microbes
CT1,12-Mar-19,20-Mar-19,8,2,2A,A002,A,microbes,3,1.8501,2.0428,0.3831,0.4216,Microbes
CT1,12-Mar-19,20-Mar-19,8,2,2A,A003,A,bug,3,1.8053,2.0281,0.3507,0.387,
CT1,12-Mar-19,20-Mar-19,8,2,2A,A004,A,bug,3,1.859,2.0605,0.369,0.4063,
CT1,12-Mar-19,20-Mar-19,8,2,2A,A005,A,bug,3,1.7944,2.0377,0.3334,0.3764,
CT1,12-Mar-19,20-Mar-19,8,2,2A,A006,A,bug,3,1.8287,2.0381,0.3378,0.3774,
CT1,12-Mar-19,20-Mar-19,8,2,2A,A007,A,bug,3,1.7488,2.0483,0.3833,NA,Empty foil packet -- bug dead
CT1,12-Mar-19,20-Mar-19,8,2,2A,A008,A,bug,3,1.8889,2.1172,0.2936,NA,Empty foil packet (reason unknown)
CT1,12-Mar-19,20-Mar-19,8,2,2A,A009,A,bug,3,1.7789,2.0243,0.3677,0.4044,
CT1,12-Mar-19,20-Mar-19,8,2,2A,A010,A,bug,3,1.8515,2.1114,0.3484,0.397,
CT1,12-Mar-19,20-Mar-19,8,0,0A,R041,R,microbes,2,1.7558,1.9115,0.4332,NA,Microbes
CT1,12-Mar-19,20-Mar-19,8,0,0A,R042,R,microbes,2,1.838,1.9567,0.4171,0.4639,Microbes
CT1,12-Mar-19,20-Mar-19,8,0,0A,R043,R,bug,2,1.6853,1.8495,0.535,0.589,
CT1,12-Mar-19,20-Mar-19,8,0,0A,R044,R,bug,2,1.6325,1.7818,0.4523,0.5062,
CT1,12-Mar-19,20-Mar-19,8,0,0A,R045,R,bug,2,1.8593,2.0182,0.4709,0.5224,
CT1,12-Mar-19,20-Mar-19,8,0,0A,R046,R,bug,2,1.7105,1.8481,0.3884,0.4357,
CT1,12-Mar-19,20-Mar-19,8,0,0A,A041,A,microbes,3,1.8471,1.9764,0.4296,NA,Microbes
CT1,12-Mar-19,20-Mar-19,8,0,0A,A042,A,microbes,3,1.7679,1.8508,0.4374,0.4617,Microbes
CT1,12-Mar-19,20-Mar-19,8,0,0A,A043,A,bug,3,1.7761,1.9,0.3784,0.4085,
CT1,12-Mar-19,20-Mar-19,8,0,0A,A044,A,bug,3,1.8783,1.9759,0.4344,0.4595,
CT1,12-Mar-19,20-Mar-19,8,0,0A,A045,A,bug,3,1.7349,1.8506,0.4237,0.4513,
CT1,12-Mar-19,20-Mar-19,8,0,0A,A046,A,bug,3,1.8602,1.9935,0.4309,0.4664,
