Image,Beg.Date,Days.in.expt,Temp TRT,Channel,Chamber,Leaf spp.,Beg.Length.mm,BWP.beg?,Notes
DSC00856,12-Mar-19,36,2,2A,A003,A,8.123,N,
DSC00858,12-Mar-19,36,2,2A,A004,A,8.219,N,
DSC00859,12-Mar-19,36,2,2A,A005,A,7.386,N,
DSC00860,12-Mar-19,36,2,2A,A006,A,8.4,N,
DSC00861,12-Mar-19,36,2,2A,A007,A,7.404,N,
DSC00862,12-Mar-19,36,2,2A,A008,A,9.81,N,
DSC00866,12-Mar-19,36,2,2A,A009,A,9.132,N,
DSC00867,12-Mar-19,36,2,2A,A010,A,8.945,N,
DSC00868,12-Mar-19,36,2,2A,R003,R,8.067,N,
DSC00869,12-Mar-19,36,2,2A,R004,R,8.102,N,
DSC00870,12-Mar-19,36,2,2A,R005,R,8.278,N,
DSC00871,12-Mar-19,36,2,2A,R006,R,8.243,N,
DSC00872,12-Mar-19,36,2,2A,R007,R,7.877,N,
DSC00873,12-Mar-19,36,2,2A,R008,R,8.687,N,
DSC00874,12-Mar-19,36,2,2A,R009,R,8.032,N,
DSC00875,12-Mar-19,36,2,2A,R010,R,8.727,N,
DSC00877,12-Mar-19,36,0,0A,R043,R,7.981,N,
DSC00878,12-Mar-19,36,0,0A,R044,R,8.592,N,
DSC00879,12-Mar-19,36,0,0A,R045,R,8.119,N,
DSC00880,12-Mar-19,36,0,0A,R046,R,7.555,N,
DSC00881,12-Mar-19,36,0,0A,R047,R,8.608,N,
DSC00882,12-Mar-19,36,0,0A,R048,R,7.67,N,
DSC00883,12-Mar-19,36,0,0A,R049,R,7.991,N,
DSC00884,12-Mar-19,36,0,0A,R050,R,7.558,N,
DSC00885,12-Mar-19,36,0,0A,A043,A,7.886,N ,
DSC00886,12-Mar-19,36,0,0A,A044,A,9.041,N,
DSC00887,12-Mar-19,36,0,0A,A045,A,8.184,N,
DSC00888,12-Mar-19,36,0,0A,A046,A,7.776,N,
DSC00890,12-Mar-19,36,0,0A,A047,A,8.376,N,
DSC00891,12-Mar-19,36,0,0A,A048,A,8.049,N,
DSC00892,12-Mar-19,36,0,0A,A049,A,8.256,N,
DSC00893,12-Mar-19,36,0,0A,A050,A,8.022,N,
DSC00894,12-Mar-19,36,2,2B,A063,A,8.138,N,
DSC00895,12-Mar-19,36,2,2B,A064,A,8.295,N,
DSC00896,12-Mar-19,36,2,2B,A065,A,7.407,N,
DSC00897,12-Mar-19,36,2,2B,A066,A,9.137,N,
DSC00898,12-Mar-19,36,2,2B,A067,A,7.57,N,
DSC00900,12-Mar-19,36,2,2B,A068,A,7.876,N,
DSC00901,12-Mar-19,36,2,2B,A069,A,8.044,N,
DSC00902,12-Mar-19,36,2,2B,A070,A,7.977,N,
DSC00903,12-Mar-19,36,2,2B,R063,R,7.262,N,
DSC00905,12-Mar-19,36,2,2B,R064,R,8.099,N,
DSC00906,12-Mar-19,36,2,2B,R065,R,8.198,N,
DSC00908,12-Mar-19,36,2,2B,R066,R,8.172,N,
DSC00909,12-Mar-19,36,2,2B,R067,R,8.355,N,
DSC00910,12-Mar-19,36,2,2B,R068,R,7.867,N,
DSC00911,12-Mar-19,36,2,2B,R069,R,8.087,N,
DSC00912,12-Mar-19,36,2,2B,R070,R,8.579,N,
DSC00913,12-Mar-19,36,0,0C,A013,A,7.582,N,
DSC00914,12-Mar-19,36,0,0C,A014,A,8.495,N,
DSC00915,12-Mar-19,36,0,0C,A015,A,7.581,N,
DSC00916,12-Mar-19,36,0,0C,A016,A,7.027,N,
DSC00917,12-Mar-19,36,0,0C,A017,A,7.078,N,
DSC00918,12-Mar-19,36,0,0C,A018,A,8.053,N,
DSC00919,12-Mar-19,36,0,0C,A019,A,8.252,N,
DSC00921,12-Mar-19,36,0,0C,A020,A,7.477,N,
