"","channel","week","mean_temp_C","sd","n","se"
"1","0A","1",9.3579212962963,1.67650392180389,432,0.0806608325459118
"2","0A","1b",8.57854166666667,0.693667863325042,48,0.100122331904726
"3","0A","2",9.69144791666667,1.24562838516667,288,0.0733993564991501
"4","0A","3",9.70764880952381,1.67584326250285,336,0.0914247452773935
"5","0A","3c",10.4123541666667,1.27667739455569,48,0.184272509353759
"6","0A","4",12.7151909722222,1.25179875665604,288,0.0737629491260311
"7","0A","5",12.967125,1.65216453659136,336,0.0901329648744233
"8","0B","1",9.42002083333333,1.6524252167686,432,0.0795023453097565
"9","0B","1b",8.59477083333333,0.742752220635432,48,0.107207048631265
"10","0B","2",9.73438888888889,1.19510946598834,288,0.0704225006383822
"11","0B","3",9.76353869047619,1.64213216285707,336,0.089585654016834
"12","0B","3c",10.476,1.23593976648661,48,0.178392539220802
"13","0B","4",12.7314965277778,1.2167190216678,288,0.0716958559183303
"14","0B","5",12.9837976190476,1.62544868316605,336,0.088675495581842
"15","0C","1",9.41552777777778,1.61570360906908,432,0.077735576135557
"16","0C","1b",8.64752083333333,0.604890951648745,48,0.087308488441193
"17","0C","2",9.77695486111111,1.21323466397551,288,0.0714905381723052
"18","0C","3",9.82008035714286,1.6672348945255,336,0.0909551203027955
"19","0C","3c",10.5126666666667,1.24268621761931,48,0.179366305565187
"20","0C","4",12.8326909722222,1.22812444110727,288,0.0723679267039908
"21","0C","5",13.0677946428571,1.64088022140135,336,0.0895173550110426
"22","0D","1",9.33682407407407,1.62911627690851,432,0.0783808934178606
"23","0D","1b",8.63202083333333,0.748325293062842,48,0.108011452347809
"24","0D","2",9.70580555555556,1.24880123579357,288,0.0735863185153146
"25","0D","3",9.70560714285714,1.65126251847005,336,0.0900837557515764
"26","0D","3c",10.3862083333333,1.22934428047194,48,0.177440562814301
"27","0D","4",12.6778229166667,1.21892098849668,288,0.0718256080580513
"28","0D","5",12.9068839285714,1.61535888944565,336,0.0881250522071964
"29","1A","1",10.450662037037,1.74054822193877,432,0.0837421653728228
"30","1A","1b",9.72729166666667,0.643923246329189,48,0.0929423149014037
"31","1A","2",10.8893993055556,1.21905900060996,288,0.0718337404998166
"32","1A","3",10.8669404761905,1.62224282814296,336,0.0885006018519565
"33","1A","3c",11.5478958333333,1.19783798569851,48,0.172893020872149
"34","1A","4",13.8732465277778,1.25439191022895,288,0.0739157521657031
"35","1A","5",14.200619047619,1.66448387701117,336,0.0908050399933006
"36","1B","1",10.2195462962963,1.81187806519691,432,0.0871740240566846
"37","1B","1b",9.51295833333333,0.771693135967459,48,0.11138430994565
"38","1B","2",10.6476458333333,1.18651346752732,288,0.0699159765714774
"39","1B","3",10.6706458333333,1.6038249065618,336,0.0874958218544633
"40","1B","3c",11.351375,1.17332913568116,48,0.169355473083387
"41","1B","4",13.6527847222222,1.21498227092036,288,0.0715935168991014
"42","1B","5",13.9936666666667,1.6569153867971,336,0.090392145001604
"43","1C","1",10.3713888888889,1.72525783988243,432,0.0830065065231362
"44","1C","1b",9.727,0.707857300200265,48,0.102170400704616
