"","channel","week","mean_temp_C","sd","n","se"
"1","0A","1",9.3579212962963,1.67650392180389,432,0.0806608325459118
"2","0A","2",9.53246130952381,1.244545702041,336,0.0678955343504148
"3","0A","3",9.70764880952381,1.67584326250285,336,0.0914247452773935
"4","0A","4",12.3862142857143,1.490785138799,336,0.0813289969459724
"5","0A","5",12.967125,1.65216453659136,336,0.0901329648744233
"6","0B","1",9.42002083333333,1.6524252167686,432,0.0795023453097565
"7","0B","2",9.57158630952381,1.20852778266933,336,0.0659305957564209
"8","0B","3",9.76353869047619,1.64213216285707,336,0.089585654016834
"9","0B","4",12.4092827380952,1.45168517632572,336,0.0791959191161656
"10","0B","5",12.9837976190476,1.62544868316605,336,0.088675495581842
"11","0C","1",9.41552777777778,1.61570360906908,432,0.077735576135557
"12","0C","2",9.61560714285714,1.21203662589709,336,0.0661220188480032
"13","0C","3",9.82008035714286,1.6672348945255,336,0.0909551203027955
"14","0C","4",12.5012589285714,1.47305320700452,336,0.0803616407594724
"15","0C","5",13.0677946428571,1.64088022140135,336,0.0895173550110426
"16","0D","1",9.33682407407407,1.62911627690851,432,0.0783808934178606
"17","0D","2",9.55240773809524,1.2474877909131,336,0.0680560384570541
"18","0D","3",9.70560714285714,1.65126251847005,336,0.0900837557515764
"19","0D","4",12.3504494047619,1.45940862807547,336,0.0796172679527085
"20","0D","5",12.9068839285714,1.61535888944565,336,0.0881250522071964
"21","1A","1",10.450662037037,1.74054822193877,432,0.0837421653728228
"22","1A","2",10.7233839285714,1.22360273705521,336,0.0667530019417933
"23","1A","3",10.8669404761905,1.62224282814296,336,0.0885006018519565
"24","1A","4",13.5410535714286,1.48776154709084,336,0.0811640464950998
"25","1A","5",14.200619047619,1.66448387701117,336,0.0908050399933006
"26","1B","1",10.2195462962963,1.81187806519691,432,0.0871740240566846
"27","1B","2",10.4855476190476,1.20323412101073,336,0.0656418028367301
"28","1B","3",10.6706458333333,1.6038249065618,336,0.0874958218544633
"29","1B","4",13.3240119047619,1.4519999238851,336,0.0792130900032569
"30","1B","5",13.9936666666667,1.6569153867971,336,0.090392145001604
"31","1C","1",10.3713888888889,1.72525783988243,432,0.0830065065231362
"32","1C","2",10.6325208333333,1.18934184967383,336,0.0648839173012991
"33","1C","3",10.836875,1.62766521801638,336,0.0887964174715101
"34","1C","4",13.4414613095238,1.41822983369592,336,0.0773707805447163
"35","1C","5",14.0826875,1.62232155027911,336,0.0885048964965727
"36","1D","1",10.2914861111111,1.73974130535302,432,0.0837033425804898
"37","1D","2",10.5449702380952,1.20978907215745,336,0.0659994047391894
"38","1D","3",10.725068452381,1.6061615533933,336,0.0876232963899128
"39","1D","4",13.3714285714286,1.43302288603415,336,0.0781778077125665
"40","1D","5",14.0248154761905,1.69807561718264,336,0.0926376196606944
"41","2A","1",11.0764583333333,1.8822947337272,432,0.0905619476009681
"42","2A","2",11.4587351190476,1.22247185777893,336,0.0666913074193483
"43","2A","3",11.616755952381,1.62609482933632,336,0.0887107457453569
"44","2A","4",14.3008273809524,1.45086951591219,336,0.0791514211925184
"45","2A","5",14.8515892857143,1.66398568926954,336,0.0907778616238205
"46","2B","1",11.1353611111111,1.88787720415648,432,0.0908305343347254
"47","2B","2",11.5083660714286,1.20535462543368,336,0.0657574858370832
"48","2B","3",11.6640208333333,1.5841783960809,336,0.0864240168375531
"49","2B","4",14.330880952381,1.43253732022767,336,0.0781513179261008
"50","2B","5",14.9118601190476,1.68897407739321,336,0.0921410899580072
"51","2C","1",10.9445578703704,1.854241750679,432,0.0892122478247635
"52","2C","2",11.3480863095238,1.17576777646363,336,0.0641433908968391
"53","2C","3",11.5251994047619,1.57548191882261,336,0.0859495851076055
"54","2C","4",14.1686517857143,1.4975499396242,336,0.0816980470869577
"55","2C","5",14.7575238095238,1.66538742371654,336,0.0908543325072444
"56","2D","1",11.0636759259259,1.85827366973309,432,0.0894062336206992
"57","2D","2",11.4741130952381,1.1727258764098,336,0.0639774416438255
