"","Temp.TRT","Channel","Chamber","Leaf.spp.","Beg.Length.mm","beg.mass.mg"
"1",2,"2A","A003","Acer",8.123,7.64227693039365
"2",2,"2A","A004","Acer",8.219,7.90278707968859
"3",2,"2A","A005","Acer",7.386,5.82604013735009
"4",2,"2A","A006","Acer",8.4,8.40950693523137
"5",2,"2A","A007","Acer",7.404,5.86663944435427
"6",2,"2A","A008","Acer",9.81,13.0928263533731
"7",2,"2A","A009","Acer",9.132,10.6732393985427
"8",2,"2A","A010","Acer",8.945,10.0614472341278
"9",2,"2A","R003","Rhodo",8.067,7.49292228805819
"10",2,"2A","R004","Rhodo",8.102,7.58604452448269
"11",2,"2A","R005","Rhodo",8.278,8.06571661249362
"12",2,"2A","R006","Rhodo",8.243,7.96880299625285
"13",2,"2A","R007","Rhodo",7.877,7.00034142247177
"14",2,"2A","R008","Rhodo",8.687,9.25544556094787
"15",2,"2A","R009","Rhodo",8.032,7.40054571071037
"16",2,"2A","R010","Rhodo",8.727,9.37755254635078
"17",0,"0A","R043","Rhodo",7.981,7.26726902750916
"18",0,"0A","R044","Rhodo",8.592,8.96959176902041
"19",0,"0A","R045","Rhodo",8.119,7.63154519582003
"20",0,"0A","R046","Rhodo",7.555,6.2144782025943
"21",0,"0A","R047","Rhodo",8.608,9.0173281194964
"22",0,"0A","R048","Rhodo",7.67,6.48818019989515
"23",0,"0A","R049","Rhodo",7.991,7.2932777936794
"24",0,"0A","R050","Rhodo",7.558,6.22152112645295
"25",0,"0A","A043","Acer",7.886,7.0231849044319
"26",0,"0A","A044","Acer",9.041,10.3725925057689
"27",0,"0A","A045","Acer",8.184,7.80715219649334
"28",0,"0A","A046","Acer",7.776,6.74728906821027
"29",0,"0A","A047","Acer",8.376,8.34113875300383
"30",0,"0A","A048","Acer",8.049,7.44532137668617
"31",0,"0A","A049","Acer",8.256,8.00471067388097
"32",0,"0A","A050","Acer",8.022,7.37428897442452
"33",2,"2B","A063","Acer",8.138,7.68260822194986
"34",2,"2B","A064","Acer",8.295,8.11306380758431
"35",2,"2B","A065","Acer",7.407,5.87342380675756
"36",2,"2B","A066","Acer",9.137,10.6899204112068
"37",2,"2B","A067","Acer",7.57,6.2497446600401
"38",2,"2B","A068","Acer",7.876,6.99780624092535
"39",2,"2B","A069","Acer",8.044,7.43213385104964
"40",2,"2B","A070","Acer",7.977,7.25688241318047
"41",2,"2B","R063","Rhodo",7.262,5.55130636384582
"42",2,"2B","R064","Rhodo",8.099,7.57803333185377
"43",2,"2B","R065","Rhodo",8.198,7.84531541066263
"44",2,"2B","R066","Rhodo",8.172,7.77453700768066
"45",2,"2B","R067","Rhodo",8.355,8.28161360638118
"46",2,"2B","R068","Rhodo",7.867,6.9750164366418
"47",2,"2B","R069","Rhodo",8.087,7.54604351240921
"48",2,"2B","R070","Rhodo",8.579,8.930927076352
"49",0,"0C","A013","Acer",7.582,6.27805121887626
"50",0,"0C","A014","Acer",8.495,8.68370101884418
"51",0,"0C","A015","Acer",7.581,6.27568916513064
"52",0,"0C","A016","Acer",7.027,5.05401361315153
"53",0,"0C","A017","Acer",7.078,5.15936855897776
"54",0,"0C","A018","Acer",8.053,7.45588233257709
"55",0,"0C","A019","Acer",8.252,7.99365098901386
"56",0,"0C","A020","Acer",7.477,6.03317533543535
"57",0,"0C","R013","Rhodo",8.124,7.64496139463617
"58",0,"0C","R014","Rhodo",7.618,6.36347016926815
"59",0,"0C","R015","Rhodo",7.713,6.59249629373383
"60",0,"0C","R016","Rhodo",7.757,6.70035968558453
"61",0,"0C","R017","Rhodo",8.638,9.10727789669346
"62",0,"0C","R018","Rhodo",7.967,7.23095807160538
"63",0,"0C","R019","Rhodo",7.73,6.63403603305479
"64",0,"0C","R020","Rhodo",7.676,6.50267109730191
"65",4,"4D","A023","Acer",8.378,8.3468222615582
"66",4,"4D","A024","Acer",7.138,5.28512920441753
"67",4,"4D","A025","Acer",8.273,8.05182520508068
"68",4,"4D","A026","Acer",8.081,7.53008154901127
"69",4,"4D","A027","Acer",7.783,6.76463250002797
"70",4,"4D","A028","Acer",8.449,8.55021980835016
"71",4,"4D","A029","Acer",7.745,6.67082960020396
"72",4,"4D","A030","Acer",7.882,7.01302627825959
"73",4,"4D","R023","Rhodo",7.582,6.27805121887626
"74",4,"4D","R024","Rhodo",7.577,6.26624672228678
"75",4,"4D","R025","Rhodo",8.474,8.62259733130647
"76",4,"4D","R026","Rhodo",9.308,11.2706500867282
"77",4,"4D","R027","Rhodo",8.417,8.45815392517157
"78",4,"4D","R028","Rhodo",8.639,9.11028621468821
"79",4,"4D","R029","Rhodo",8.27,8.0434978243742
"80",4,"4D","R030","Rhodo",7.46,5.99412236845925
"81",3,"3D","A033","Acer",8.869,9.81947164416265
"82",3,"3D","A034","Acer",8.242,7.96604520908078
"83",3,"3D","A035","Acer",7.638,6.41124956930307
"84",3,"3D","A036","Acer",8.402,8.41522065338298
"85",3,"3D","A037","Acer",7.768,6.72750339725318
"86",3,"3D","A038","Acer",9.046,10.3889668957175
"87",3,"3D","A039","Acer",8.803,9.61242849804334
"88",3,"3D","A040","Acer",7.891,7.03589662085587
"89",3,"3D","R033","Rhodo",9.172,10.8071617938751
"90",3,"3D","R034","Rhodo",8.851,9.76272099791754
"91",3,"3D","R035","Rhodo",8.224,7.916510988786
"92",3,"3D","R036","Rhodo",7.986,7.28026586704329
"93",3,"3D","R037","Rhodo",7.751,6.68558405344013
"94",3,"3D","R038","Rhodo",7.43,5.9256066030535
"95",3,"3D","R039","Rhodo",8.127,7.65301846183033
"96",3,"3D","R040","Rhodo",8.335,8.22518014725671
"97",0,"0D","A053","Acer",8.532,8.79204284460708
"98",0,"0D","A054","Acer",7.788,6.77703837554253
"99",0,"0D","A055","Acer",6.837,4.67383341713323
"100",0,"0D","A056","Acer",7.022,5.04376059118528
"101",0,"0D","A057","Acer",8.802,9.60931349494849
"102",0,"0D","A058","Acer",7.899,7.05626643295539
