,Chamber,Channel,Temp.TRT,Leaf.spp.,Beg.Date,Beg.Length.mm,beg.mass.mg,End.Date,End.Length.mm,end.mass.mg,Days.in.expt,igr,igr_norm
1,A003,2A,2,A,12-Mar-19,8.123,5.252219332,17-Apr-19,8.432,5.817293392,36,0.002838455,0.00054043
2,A004,2A,2,A,12-Mar-19,8.219,5.423859998,17-Apr-19,8.034,5.096210202,36,-0.001730849,-0.000319118
3,A005,2A,2,A,12-Mar-19,7.386,4.048416484,17-Apr-19,8.095,5.202815774,36,0.006968727,0.001721346
4,A008,2A,2,A,12-Mar-19,9.81,8.803330254,17-Apr-19,9.201,7.386954099,36,-0.004872628,-0.000553498
5,A014,0C,0,A,12-Mar-19,8.495,5.937028056,17-Apr-19,8.301,5.573254356,36,-0.001756376,-0.000295834
6,A015,0C,0,A,12-Mar-19,7.581,4.347707743,17-Apr-19,7.967,4.980728122,36,0.003775759,0.000868448
7,A017,0C,0,A,12-Mar-19,7.078,3.602915855,17-Apr-19,6.887,3.343006789,36,-0.002079801,-0.000577255
8,A018,0C,0,A,12-Mar-19,8.053,5.129265078,17-Apr-19,7.471,4.177212058,36,-0.005703287,-0.001111911
9,A019,0C,0,A,12-Mar-19,8.252,5.483672437,17-Apr-19,8.374,5.70842663,36,0.001115789,0.000203475
10,A020,0C,0,A,12-Mar-19,7.477,4.18640039,17-Apr-19,7.504,4.227906598,36,0.000274047,6.54614E-05
11,A024,4D,4,A,12-Mar-19,7.138,3.68712551,17-Apr-19,7.79,4.683677063,36,0.006645454,0.00180234
12,A029,4D,4,A,12-Mar-19,7.745,4.609996054,17-Apr-19,8.089,5.192267825,36,0.003303988,0.000716701
13,A035,3D,3,A,12-Mar-19,7.638,4.437764324,17-Apr-19,9.303,7.613250676,36,0.014992764,0.00337845
14,A036,3D,3,A,12-Mar-19,8.402,5.760820043,17-Apr-19,9.08,7.124098061,36,0.005900092,0.001024176
15,A040,3D,3,A,12-Mar-19,7.891,4.851760161,17-Apr-19,8.182,5.357291835,36,0.002753251,0.000567475
16,A043,0A,0,A,12-Mar-19,7.886,4.843350606,17-Apr-19,7.894,4.85681034,36,7.70877E-05,1.59162E-05
17,A044,0A,0,A,12-Mar-19,9.041,7.040660411,17-Apr-19,9.172,7.32340438,36,0.001093703,0.000155341
18,A045,0A,0,A,12-Mar-19,8.184,5.360876782,17-Apr-19,8.812,6.563232607,36,0.005620992,0.001048521
19,A046,0A,0,A,12-Mar-19,7.776,4.660674606,17-Apr-19,8.476,5.900754499,36,0.006553334,0.001406091
20,A047,0A,0,A,12-Mar-19,8.376,5.712158945,17-Apr-19,8.334,5.634105049,36,-0.000382187,-6.69076E-05
21,A048,0A,0,A,12-Mar-19,8.049,5.122294884,17-Apr-19,8.872,6.686269194,36,0.007401486,0.001444955
22,A049,0A,0,A,12-Mar-19,8.256,5.490950735,17-Apr-19,8.522,5.988817635,36,0.002410905,0.000439069
