Image,Beg.Date,Days.in.expt,Temp TRT,Channel,Chamber,Leaf spp.,Beg.Length.mm,BWP.beg?,Notes
DSC00856,12-Mar-19,36,2,2A,A003,Acer,8.123,N,
DSC00858,12-Mar-19,36,2,2A,A004,Acer,8.219,N,
DSC00859,12-Mar-19,36,2,2A,A005,Acer,7.386,N,
DSC00860,12-Mar-19,36,2,2A,A006,Acer,8.4,N,
DSC00861,12-Mar-19,36,2,2A,A007,Acer,7.404,N,
DSC00862,12-Mar-19,36,2,2A,A008,Acer,9.81,N,
DSC00866,12-Mar-19,36,2,2A,A009,Acer,9.132,N,
DSC00867,12-Mar-19,36,2,2A,A010,Acer,8.945,N,
DSC00868,12-Mar-19,36,2,2A,R003,Rhodo,8.067,N,
DSC00869,12-Mar-19,36,2,2A,R004,Rhodo,8.102,N,
DSC00870,12-Mar-19,36,2,2A,R005,Rhodo,8.278,N,
DSC00871,12-Mar-19,36,2,2A,R006,Rhodo,8.243,N,
DSC00872,12-Mar-19,36,2,2A,R007,Rhodo,7.877,N,
DSC00873,12-Mar-19,36,2,2A,R008,Rhodo,8.687,N,
DSC00874,12-Mar-19,36,2,2A,R009,Rhodo,8.032,N,
DSC00875,12-Mar-19,36,2,2A,R010,Rhodo,8.727,N,
DSC00877,12-Mar-19,36,0,0A,R043,Rhodo,7.981,N,
DSC00878,12-Mar-19,36,0,0A,R044,Rhodo,8.592,N,
DSC00879,12-Mar-19,36,0,0A,R045,Rhodo,8.119,N,
DSC00880,12-Mar-19,36,0,0A,R046,Rhodo,7.555,N,
DSC00881,12-Mar-19,36,0,0A,R047,Rhodo,8.608,N,
DSC00882,12-Mar-19,36,0,0A,R048,Rhodo,7.67,N,
DSC00883,12-Mar-19,36,0,0A,R049,Rhodo,7.991,N,
DSC00884,12-Mar-19,36,0,0A,R050,Rhodo,7.558,N,
DSC00885,12-Mar-19,36,0,0A,A043,Acer,7.886,N ,
DSC00886,12-Mar-19,36,0,0A,A044,Acer,9.041,N,
DSC00887,12-Mar-19,36,0,0A,A045,Acer,8.184,N,
DSC00888,12-Mar-19,36,0,0A,A046,Acer,7.776,N,
DSC00890,12-Mar-19,36,0,0A,A047,Acer,8.376,N,
DSC00891,12-Mar-19,36,0,0A,A048,Acer,8.049,N,
DSC00892,12-Mar-19,36,0,0A,A049,Acer,8.256,N,
DSC00893,12-Mar-19,36,0,0A,A050,Acer,8.022,N,
DSC00894,12-Mar-19,36,2,2B,A063,Acer,8.138,N,
DSC00895,12-Mar-19,36,2,2B,A064,Acer,8.295,N,
DSC00896,12-Mar-19,36,2,2B,A065,Acer,7.407,N,
DSC00897,12-Mar-19,36,2,2B,A066,Acer,9.137,N,
DSC00898,12-Mar-19,36,2,2B,A067,Acer,7.57,N,
DSC00900,12-Mar-19,36,2,2B,A068,Acer,7.876,N,
DSC00901,12-Mar-19,36,2,2B,A069,Acer,8.044,N,
DSC00902,12-Mar-19,36,2,2B,A070,Acer,7.977,N,
DSC00903,12-Mar-19,36,2,2B,R063,Rhodo,7.262,N,
DSC00905,12-Mar-19,36,2,2B,R064,Rhodo,8.099,N,
DSC00906,12-Mar-19,36,2,2B,R065,Rhodo,8.198,N,
DSC00908,12-Mar-19,36,2,2B,R066,Rhodo,8.172,N,
DSC00909,12-Mar-19,36,2,2B,R067,Rhodo,8.355,N,
