Image.end,End.Date,Temp TRT,Channel,Chamber,Leaf spp.,End.Length.mm,BWP.end?,Notes
DSC01357,17-Apr-19,4,4D,A024,Acer,7.79,Y,
DSC01362,17-Apr-19,4,4D,A029,Acer,8.089,N,
DSC01368,17-Apr-19,3,3D,A035,Acer,9.303,N,
DSC01370,17-Apr-19,3,3D,A040,Acer,8.182,N,
DSC01372,17-Apr-19,3,3D,A036,Acer,9.08,N,
DSC01374,17-Apr-19,3,3D,R033,Rhodo,8.866,N,
DSC01376,17-Apr-19,3,3D,R038,Rhodo,7.675,N,
DSC01377,17-Apr-19,3,3D,R040,Rhodo,9.238,N,
DSC01379,17-Apr-19,3,3D,R035,Rhodo,8.57,N,dead but not decomposed and still measurable
DSC01383,17-Apr-19,3,3D,R036,Rhodo,8.862,N,
DSC01385,17-Apr-19,3,3A,R075,Rhodo,9.63,Y,
DSC01391,17-Apr-19,3,3A,R076,Rhodo,6.483,N,EXCL
DSC01387,17-Apr-19,3,3A,R077,Rhodo,7.678,Y,
DSC01390,17-Apr-19,3,3A,R078,Rhodo,8.397,N,
DSC01395,17-Apr-19,3,3A,R079,Rhodo,8.263,N,
DSC01398,17-Apr-19,3,3A,A073,Acer,14.098,Y,EXCL
DSC01397,17-Apr-19,3,3A,A075,Acer,8.586,N,
DSC01402,17-Apr-19,3,3A,A076,Acer,9.033,N,
DSC01403,17-Apr-19,3,3A,A078,Acer,7.814,N,
DSC01406,17-Apr-19,3,3A,A079,Acer,8.383,N,
DSC01400,17-Apr-19,3,3A,A080,Acer,8.989,N,
DSC01408,17-Apr-19,4,4C,A106,Acer,8.828,Y,
DSC01412,17-Apr-19,4,4C,A105,Acer,7.787,N,
DSC01409,17-Apr-19,4,4C,R107,Rhodo,8.073,N,
DSC01411,17-Apr-19,4,4C,R105,Rhodo,7.848,N,
DSC01413,17-Apr-19,4,4C,R103,Rhodo,7.649,N,
DSC01421,17-Apr-19,3,3B,R138,Rhodo,7.722,N,
DSC01422,17-Apr-19,3,3B,R137,Rhodo,7.781,N,
DSC01427,17-Apr-19,3,3B,R134,Rhodo,9.134,Y,
DSC01430,17-Apr-19,3,3B,R140,Rhodo,8.87,N,
DSC01433,17-Apr-19,3,3B,A136,Acer,7.96,Y,
DSC01435,17-Apr-19,3,3B,A137,Acer,7.802,N,
DSC01438,17-Apr-19,4,4B,A146,Acer,7.855,N,
DSC01441,17-Apr-19,4,4B,A149,Acer,8.411,Y,
DSC01442,17-Apr-19,4,4B,A145,Acer,8.264,Y,
DSC01443,17-Apr-19,4,4B,A143,Acer,7.917,N,
DSC01444,17-Apr-19,4,4B,R146,Rhodo,9.881,Y,
DSC01446,17-Apr-19,4,4B,R147,Rhodo,8.846,N,
DSC01448,17-Apr-19,4,4B,R143,Rhodo,9.493,N,
DSC01450,17-Apr-19,3,3C,R165,Rhodo,8.13,N,
DSC01452,17-Apr-19,3,3C,R163,Rhodo,8.182,N,
DSC01453,17-Apr-19,4,4A,A178,Acer,7.685,N,
DSC01454,17-Apr-19,4,4A,A173,Acer,8.421,N,
DSC01455,17-Apr-19,4,4A,A176,Acer,8.469,N,
DSC01457,17-Apr-19,4,4A,R173,Rhodo,8.208,N,EXCL
DSC01469,17-Apr-19,2,2A,A003,Acer,8.432,N,
DSC01460,17-Apr-19,2,2A,A005,Acer,8.095,N,
DSC01461,17-Apr-19,2,2A,A008,Acer,9.201,N,
DSC01462,17-Apr-19,2,2A,A004,Acer,8.034,N,
DSC01464,17-Apr-19,2,2A,R006,Rhodo,8.243,N,
DSC01465,17-Apr-19,2,2A,R004,Rhodo,9.384,N,
DSC01467,17-Apr-19,2,2A,R003,Rhodo,7.817,N,
DSC01468,17-Apr-19,2,2A,R005,Rhodo,7.596,N,
DSC01472,17-Apr-19,2,2A,R009,Rhodo,8.798,N,
DSC01473,17-Apr-19,2,2A,R007,Rhodo,8.542,N,
DSC01475,17-Apr-19,2,2B,R063,Rhodo,7.856,N,
DSC01477,17-Apr-19,2,2B,R068,Rhodo,7.856,N,
DSC01478,17-Apr-19,2,2B,R067,Rhodo,9.064,N,
DSC01479,17-Apr-19,2,2B,R064,Rhodo,8.162,N,
DSC01481,17-Apr-19,2,2B,R069,Rhodo,7.896,N,
DSC01483,17-Apr-19,2,2B,R070,Rhodo,8.569,N,
DSC01486,17-Apr-19,2,2B,A065,Acer,7.775,N,
DSC01487,17-Apr-19,2,2B,A069,Acer,8.28,N,
DSC01489,17-Apr-19,2,2B,A067,Acer,8.35,N,
DSC01490,17-Apr-19,2,2B,A063,Acer,8.763,N,
DSC01491,17-Apr-19,2,2C,A089,Acer,7.306,N,
DSC01492,17-Apr-19,2,2C,A090,Acer,8.135,N,
DSC01493,17-Apr-19,2,2C,A088,Acer,7.79,N,
DSC01495,17-Apr-19,2,2C,A085,Acer,9.508,N,
DSC01497,17-Apr-19,2,2C,A084,Acer,7.668,N,
DSC01498,17-Apr-19,2,2C,R085,Rhodo,9.305,N,
DSC01499,17-Apr-19,2,2C,R088,Rhodo,8.043,N,
DSC01500,17-Apr-19,2,2C,R086,Rhodo,9.448,N,
DSC01501,17-Apr-19,2,2C,R087,Rhodo,9.6,N,
DSC01502,17-Apr-19,2,2C,R084,Rhodo,7.19,N,
DSC01504,17-Apr-19,2,2C,R089,Rhodo,10.317,N,Bug might be dead
DSC01505,17-Apr-19,2,2C,R090,Rhodo,7.016,N,
DSC01507,17-Apr-19,2,2D,R185,Rhodo,9.22,N,
DSC01509,17-Apr-19,2,2D,R187,Rhodo,8.308,N,
DSC01510,17-Apr-19,2,2D,R189,Rhodo,8.394,N,
DSC01511,17-Apr-19,2,2D,R188,Rhodo,8.081,N,EXCL
DSC01512,17-Apr-19,2,2D,R190,Rhodo,8.228,N,
DSC01513,17-Apr-19,2,2D,R186,Rhodo,8.84,N,
DSC01515,17-Apr-19,2,2D,A183,Acer,7.928,N,
DSC01516,17-Apr-19,2,2D,A184,Acer,10.31,N,
DSC01517,17-Apr-19,2,2D,A188,Acer,8.793,N,
DSC01519,17-Apr-19,2,2D,A187,Acer,8.647,N,
DSC01520,17-Apr-19,2,2D,A190,Acer,8.381,N,
DSC01521,17-Apr-19,2,2D,A185,Acer,8.97,N,
DSC01522,17-Apr-19,0,0A,A049,Acer,8.522,N,
DSC01523,17-Apr-19,0,0A,A047,Acer,8.334,N,bug bent and photo blurry
DSC01524,17-Apr-19,0,0A,A044,Acer,9.172,N,
DSC01525,17-Apr-19,0,0A,A043,Acer,7.894,N,
DSC01527,17-Apr-19,0,0A,A046,Acer,8.476,N,
DSC01528,17-Apr-19,0,0A,A045,Acer,8.812,N,
DSC01529,17-Apr-19,0,0A,A048,Acer,8.872,N,
DSC01530,17-Apr-19,0,0A,A050,Acer,7.713,N,
DSC01531,17-Apr-19,0,0A,R045,Rhodo,8.187,N,
DSC01532,17-Apr-19,0,0A,R047,Rhodo,8.645,N,
DSC01533,17-Apr-19,0,0A,R046,Rhodo,8.151,N,
DSC01534,17-Apr-19,0,0A,R043,Rhodo,8.679,N,
DSC01535,17-Apr-19,0,0A,R049,Rhodo,8.319,N,
