Image,Date,Temp TRT,Channel,Chamber,Leaf spp.,BWP?,,,,,,,
DSC01357,17-Apr-19,4,4D,A024,Acer,Y,,,,,,,
DSC01362,17-Apr-19,4,4D,A029,Acer,N,,,,,,,
DSC01368,17-Apr-19,3,3D,A035,Acer,N,,,,,,,
DSC01370,17-Apr-19,3,3D,A040,Acer,N,,,,,,,
DSC01372,17-Apr-19,3,3D,A036,Acer,N,,,,,,,
DSC01374,17-Apr-19,3,3D,R033,Rhodo,N,,,,,,,
DSC01376,17-Apr-19,3,3D,R038,Rhodo,N,,,,,,,
DSC01377,17-Apr-19,3,3D,R040,Rhodo,N,,,,,,,
DSC01379,17-Apr-19,3,3D,R035,Rhodo,N,,,,,,,
DSC01383,17-Apr-19,3,3D,R036,Rhodo,N,,,,,,,
DSC01385,17-Apr-19,3,3A,R075,Rhodo,Y,,,,,,,
DSC01391,17-Apr-19,3,3A,R076,Rhodo,N,,,,,,,
DSC01387,17-Apr-19,3,3A,R077,Rhodo,Y,,,,,,,
DSC01390,17-Apr-19,3,3A,R078,Rhodo,N,,,,,,,
DSC01395,17-Apr-19,3,3A,R079,Rhodo,N,,,,,,,
DSC01398,17-Apr-19,3,3A,A073,Acer,Y,,,,,,,
DSC01397,17-Apr-19,3,3A,A075,Acer,N,,,,,,,
DSC01402,17-Apr-19,3,3A,A076,Acer,N,,,,,,,
DSC01403,17-Apr-19,3,3A,A078,Acer,N,,,,,,,
DSC01406,17-Apr-19,3,3A,A079,Acer,N,,,,,,,
DSC01400,17-Apr-19,3,3A,A080,Acer,N,,,,,,,
DSC01408,17-Apr-19,4,4C,A0106,Acer,Y,,,,,,,
DSC01412,17-Apr-19,4,4C,A105,Acer,N,,,,,,,
DSC01409,17-Apr-19,4,4C,R107,Rhodo,N,,,,,,,
DSC01411,17-Apr-19,4,4C,R105,Rhodo,N,,,,,,,
DSC01413,17-Apr-19,4,4C,R103,Rhodo,N,,,,,,,
DSC01421,17-Apr-19,3,3B,R138,Rhodo,N,,,,,,,
DSC01422,17-Apr-19,3,3B,R137,Rhodo,N,,,,,,,
DSC01427,17-Apr-19,3,3B,R134,Rhodo,Y,,,,,,,
DSC01430,17-Apr-19,3,3B,R140,Rhodo,N,,,,,,,
DSC01433,17-Apr-19,3,3B,A136,Acer,Y,,,,,,,
DSC01435,17-Apr-19,3,3B,A137,Acer,N,,,,,,,
DSC01438,17-Apr-19,4,4B,A146,Acer,N,,,,,,,
DSC01441,17-Apr-19,4,4B,A149,Acer,Y,,,,,,,
DSC01442,17-Apr-19,4,4B,A145,Acer,Y,,,,,,,
DSC01443,17-Apr-19,4,4B,A143,Acer,N,,,,,,,
DSC01444,17-Apr-19,4,4B,R146,Rhodo,Y,,,,,,,
DSC01446,17-Apr-19,4,4B,R147,Rhodo,N,,,,,,,
DSC01448,17-Apr-19,4,4B,R143,Rhodo,N,,,,,,,
DSC01450,17-Apr-19,3,3C,R165,Rhodo,N,,,,,,,
DSC01452,17-Apr-19,3,3C,R163,Rhodo,N,,,,,,,
DSC01453,17-Apr-19,4,4A,A178,Acer,N,,,,,,,
DSC01454,17-Apr-19,4,4A,A173,Acer,N,,,,,,,
DSC01455,17-Apr-19,4,4A,A176,Acer,N,,,,,,,
DSC01457,17-Apr-19,4,4A,R173,Rhodo,N,,,,,,,
DSC01469,17-Apr-19,2,2A,A003,Acer,N,,,,,,,
DSC01460,17-Apr-19,2,2A,A005,Acer,N,,,,,,,
DSC01461,17-Apr-19,2,2A,A008,Acer,N,,,,,,,
DSC01462,17-Apr-19,2,2A,A004,Acer,N,,,,,,,
DSC01464,17-Apr-19,2,2A,R006,Rhodo,N,,,,,,,
DSC01465,17-Apr-19,2,2A,R004,Rhodo,N,,,,,,,
DSC01467,17-Apr-19,2,2A,R003,Rhodo,N,,,,,,,
DSC01468,17-Apr-19,2,2A,R005,Rhodo,N,,,,,,,
DSC01472,17-Apr-19,2,2A,R009,Rhodo,N,,,,,,,
DSC01473,17-Apr-19,2,2A,R007,Rhodo,N,,,,,,,
DSC01475,17-Apr-19,2,2B,R063,Rhodo,N,,,,,,,
DSC01477,17-Apr-19,2,2B,R068,Rhodo,N,,,,,,,
DSC01478,17-Apr-19,2,2B,R067,Rhodo,N,,,,,,,
DSC01479,17-Apr-19,2,2B,R064,Rhodo,N,,,,,,,
DSC01481,17-Apr-19,2,2B,R069,Rhodo,N,,,,,,,
DSC01483,17-Apr-19,2,2B,R070,Rhodo,N,,,,,,,
DSC01486,17-Apr-19,2,2B,A065,Acer,N,,,,,,,
DSC01487,17-Apr-19,2,2B,A069,Acer,N,,,,,,,
DSC01489,17-Apr-19,2,2B,A067,Acer,N,,,,,,,
DSC01490,17-Apr-19,2,2B,A063,Acer,N,,,,,,,
DSC01491,17-Apr-19,2,2C,A089,Acer,N,,,,,,,
DSC01492,17-Apr-19,2,2C,A090,Acer,N,,,,,,,
DSC01493,17-Apr-19,2,2C,A088,Acer,N,,,,,,,
DSC01495,17-Apr-19,2,2C,A085,Acer,N,,,,,,,
DSC01497,17-Apr-19,2,2C,A084,Acer,N,,,,,,,
DSC01498,17-Apr-19,2,2C,R085,Rhodo,N,,,,,,,
DSC01499,17-Apr-19,2,2C,R088,Rhodo,N,,,,,,,
