"","Chamber","Channel","Temp.TRT","Leaf.spp.","Beg.Date","Beg.Length.mm","beg.mass.mg","End.Date","End.Length.mm","end.mass.mg","Days.in.expt","igr","igr_norm"
"1","A003","2A",2,"Acer","12-Mar-19",8.123,5.25221933203808,"17-Apr-19",8.432,5.81729339186169,36,0.00283845509548693,0.000540429657644456
"2","A004","2A",2,"Acer","12-Mar-19",8.219,5.42385999768333,"17-Apr-19",8.034,5.09621020243107,36,-0.00173084924262552,-0.00031911761058818
"3","A005","2A",2,"Acer","12-Mar-19",7.386,4.04841648435482,"17-Apr-19",8.095,5.20281577408284,36,0.00696872669177179,0.001721346289025
"4","A008","2A",2,"Acer","12-Mar-19",9.81,8.80333025405236,"17-Apr-19",9.201,7.38695409894009,36,-0.00487262786360497,-0.000553498247025549
"5","A014","0C",0,"Acer","12-Mar-19",8.495,5.93702805571388,"17-Apr-19",8.301,5.57325435570753,36,-0.00175637590518827,-0.000295834193253965
"6","A015","0C",0,"Acer","12-Mar-19",7.581,4.34770774268514,"17-Apr-19",7.967,4.98072812174126,36,0.00377575941744327,0.000868448304464772
"7","A017","0C",0,"Acer","12-Mar-19",7.078,3.6029158551951,"17-Apr-19",6.887,3.34300678859637,36,-0.00207980109089624,-0.000577254971940947
"8","A018","0C",0,"Acer","12-Mar-19",8.053,5.12926507817165,"17-Apr-19",7.471,4.17721205757405,36,-0.00570328714346218,-0.00111191117178431
"9","A019","0C",0,"Acer","12-Mar-19",8.252,5.48367243653965,"17-Apr-19",8.374,5.70842662999265,36,0.00111578917016136,0.000203474803258936
"10","A020","0C",0,"Acer","12-Mar-19",7.477,4.18640039017617,"17-Apr-19",7.504,4.22790659816854,36,0.000274047423082741,0.0000654613504541568
"11","A024","4D",4,"Acer","12-Mar-19",7.138,3.68712550995045,"17-Apr-19",7.79,4.68367706262351,36,0.00664545385243893,0.00180234001649926
"12","A029","4D",4,"Acer","12-Mar-19",7.745,4.6099960540469,"17-Apr-19",8.089,5.19226782474446,36,0.00330398780936207,0.000716700789030318
"13","A035","3D",3,"Acer","12-Mar-19",7.638,4.43776432413045,"17-Apr-19",9.303,7.61325067614801,36,0.0149927644481594,0.00337844990249614
"14","A036","3D",3,"Acer","12-Mar-19",8.402,5.76082004261054,"17-Apr-19",9.08,7.12409806131668,36,0.0059000915881465,0.001024175645916
"15","A040","3D",3,"Acer","12-Mar-19",7.891,4.85176016147691,"17-Apr-19",8.182,5.35729183462993,36,0.00275325093509059,0.000567474657331884
"16","A043","0A",0,"Acer","12-Mar-19",7.886,4.84335060566685,"17-Apr-19",7.894,4.85681033988403,36,0.0000770877407263078,0.0000159162007879655
"17","A044","0A",0,"Acer","12-Mar-19",9.041,7.04066041106506,"17-Apr-19",9.172,7.32340437981567,36,0.00109370346964037,0.000155341034190701
"18","A045","0A",0,"Acer","12-Mar-19",8.184,5.36087678227217,"17-Apr-19",8.812,6.56323260728723,36,0.00562099212766225,0.00104852104533539
"19","A046","0A",0,"Acer","12-Mar-19",7.776,4.66067460595233,"17-Apr-19",8.476,5.90075449866621,36,0.00655333391609841,0.00140609127865929
"20","A047","0A",0,"Acer","12-Mar-19",8.376,5.71215894542615,"17-Apr-19",8.334,5.6341050493974,36,-0.000382187120404023,-0.0000669076480636185
"21","A048","0A",0,"Acer","12-Mar-19",8.049,5.12229488419066,"17-Apr-19",8.872,6.6862691935254,36,0.00740148586822545,0.00144495505150811
"22","A049","0A",0,"Acer","12-Mar-19",8.256,5.49095073549917,"17-Apr-19",8.522,5.98881763496848,36,0.00241090517856975,0.000439068805149383
"23","A050","0A",0,"Acer","12-Mar-19",8.022,5.07540327236159,"17-Apr-19",7.713,4.55805099084924,36,-0.00298641295649581,-0.000588408998504316
"24","A053","0D",0,"Acer","12-Mar-19",8.532,6.00807145284411,"17-Apr-19",8.397,5.75144178956124,36,-0.00121258994313374,-0.000201826817915044
"25","A054","0D",0,"Acer","12-Mar-19",7.788,4.68038659641209,"17-Apr-19",9.573,8.23336670097936,36,0.0156892859755366,0.00335213462656349
"26","A055","0D",0,"Acer","12-Mar-19",6.837,3.27699677187263,"17-Apr-19",7.218,3.80133299888268,36,0.00412290027138413,0.00125813376039065
"27","A056","0D",0,"Acer","12-Mar-19",7.022,3.5254308433724,"17-Apr-19",7.078,3.6029158551951,36,0.000603911764792612,0.000171301549122125
"28","A057","0D",0,"Acer","12-Mar-19",8.802,6.54286734638324,"17-Apr-19",8.355,5.67304680387985,36,-0.00396247702657783,-0.000605617815065166
"29","A058","0D",0,"Acer","12-Mar-19",7.899,4.86523471509601,"17-Apr-19",7.795,4.69190965008513,36,-0.00100764682452078,-0.000207111657202113
"30","A060","0D",0,"Acer","12-Mar-19",8.837,6.61432163410761,"17-Apr-19",8.078,5.17296518618007,36,-0.00682753282153186,-0.00103223477768677
"31","A063","2B",2,"Acer","12-Mar-19",8.138,5.27880751919474,"17-Apr-19",8.763,6.46382614660071,36,0.00562558893462966,0.00106569313508287
"32","A065","2B",2,"Acer","12-Mar-19",7.407,4.07999864342582,"17-Apr-19",7.775,4.65903432281236,36,0.00368643177434603,0.000903537500015116
"33","A067","2B",2,"Acer","12-Mar-19",7.57,4.33046311249911,"17-Apr-19",8.35,5.66375951478093,36,0.00745592795162483,0.00172173916690449
"34","A069","2B",2,"Acer","12-Mar-19",8.044,5.11359059887542,"17-Apr-19",8.28,5.5347492890887,36,0.00219845696900748,0.00042992432156985
