date,days.since.start,channel,leaf.sp,temp.trt,#surviving,%surviving,notes,,,,,,
12-Mar-19,0,0A,Acer,0,8,100,,,,,,,
12-Mar-19,0,0A,Rhodo,0,8,100,,,,,,,
12-Mar-19,0,0B,Acer,0,8,100,,,,,,,
12-Mar-19,0,0B,Rhodo,0,8,100,,,,,,,
12-Mar-19,0,0C,Acer,0,8,100,,,,,,,
12-Mar-19,0,0C,Rhodo,0,8,100,,,,,,,
12-Mar-19,0,0D,Acer,0,8,100,,,,,,,
12-Mar-19,0,0D,Rhodo,0,8,100,,,,,,,
12-Mar-19,0,1A,Acer,1,8,100,,,,,,,
12-Mar-19,0,1A,Rhodo,1,8,100,,,,,,,
12-Mar-19,0,1B,Acer,1,8,100,,,,,,,
12-Mar-19,0,1B,Rhodo,1,8,100,,,,,,,
12-Mar-19,0,1C,Acer,1,8,100,,,,,,,
12-Mar-19,0,1C,Rhodo,1,8,100,,,,,,,
12-Mar-19,0,1D,Acer,1,8,100,,,,,,,
12-Mar-19,0,1D,Rhodo,1,8,100,,,,,,,
12-Mar-19,0,2A,Acer,2,8,100,,,,,,,
12-Mar-19,0,2A,Rhodo,2,8,100,,,,,,,
12-Mar-19,0,2B,Acer,2,8,100,,,,,,,
12-Mar-19,0,2B,Rhodo,2,8,100,,,,,,,
12-Mar-19,0,2C,Acer,2,8,100,,,,,,,
12-Mar-19,0,2C,Rhodo,2,8,100,,,,,,,
12-Mar-19,0,2D,Acer,2,8,100,,,,,,,
12-Mar-19,0,2D,Rhodo,2,8,100,,,,,,,
12-Mar-19,0,3A,Acer,3,8,100,,,,,,,
12-Mar-19,0,3A,Rhodo,3,8,100,,,,,,,
12-Mar-19,0,3B,Acer,3,8,100,,,,,,,
12-Mar-19,0,3B,Rhodo,3,8,100,,,,,,,
12-Mar-19,0,3C,Acer,3,8,100,,,,,,,
12-Mar-19,0,3C,Rhodo,3,8,100,,,,,,,
12-Mar-19,0,3D,Acer,3,8,100,,,,,,,
12-Mar-19,0,3D,Rhodo,3,8,100,,,,,,,
12-Mar-19,0,4A,Acer,4,8,100,,,,,,,
12-Mar-19,0,4A,Rhodo,4,8,100,,,,,,,
12-Mar-19,0,4B,Acer,4,8,100,,,,,,,
12-Mar-19,0,4B,Rhodo,4,8,100,,,,,,,
12-Mar-19,0,4C,Acer,4,8,100,,,,,,,
12-Mar-19,0,4C,Rhodo,4,8,100,,,,,,,
12-Mar-19,0,4D,Acer,4,8,100,,,,,,,
12-Mar-19,0,4D,Rhodo,4,8,100,,,,,,,
20-Mar-19,8,0A,Acer,0,8,100,,,,,,,
20-Mar-19,8,0A,Rhodo,0,8,100,,,,,,,
20-Mar-19,8,0B,Acer,0,8,100,,,,,,,
20-Mar-19,8,0B,Rhodo,0,8,100,,,,,,,
20-Mar-19,8,0C,Acer,0,8,100,,,,,,,
20-Mar-19,8,0C,Rhodo,0,8,100,,,,,,,
20-Mar-19,8,0D,Acer,0,8,100,,,,,,,
20-Mar-19,8,0D,Rhodo,0,8,100,,,,,,,
20-Mar-19,8,1A,Acer,1,8,100,,,,,,,
20-Mar-19,8,1A,Rhodo,1,8,100,,,,,,,
20-Mar-19,8,1B,Acer,1,8,100,,,,,,,
20-Mar-19,8,1B,Rhodo,1,8,100,,,,,,,
20-Mar-19,8,1C,Acer,1,8,100,,,,,,,
20-Mar-19,8,1C,Rhodo,1,8,100,,,,,,,
20-Mar-19,8,1D,Acer,1,8,100,,,,,,,
20-Mar-19,8,1D,Rhodo,1,7,87.5,,,,,,,
20-Mar-19,8,2A,Acer,2,7,87.5,,,,,,,
20-Mar-19,8,2A,Rhodo,2,8,100,,,,,,,
20-Mar-19,8,2B,Acer,2,8,100,,,,,,,
20-Mar-19,8,2B,Rhodo,2,8,100,,,,,,,
20-Mar-19,8,2C,Acer,2,8,100,,,,,,,
20-Mar-19,8,2C,Rhodo,2,8,100,,,,,,,
20-Mar-19,8,2D,Acer,2,8,100,,,,,,,
20-Mar-19,8,2D,Rhodo,2,8,100,,,,,,,
20-Mar-19,8,3A,Acer,3,8,100,,,,,,,
20-Mar-19,8,3A,Rhodo,3,8,100,,,,,,,
20-Mar-19,8,3B,Acer,3,8,100,,,,,,,
20-Mar-19,8,3B,Rhodo,3,8,100,,,,,,,
20-Mar-19,8,3C,Acer,3,8,100,,,,,,,
20-Mar-19,8,3C,Rhodo,3,8,100,,,,,,,
20-Mar-19,8,3D,Acer,3,8,100,,,,,,,
20-Mar-19,8,3D,Rhodo,3,8,100,,,,,,,
20-Mar-19,8,4A,Acer,4,8,100,,,,,,,
20-Mar-19,8,4A,Rhodo,4,8,100,,,,,,,
20-Mar-19,8,4B,Acer,4,8,100,,,,,,,
20-Mar-19,8,4B,Rhodo,4,8,100,,,,,,,
20-Mar-19,8,4C,Acer,4,8,100,,,,,,,
20-Mar-19,8,4C,Rhodo,4,8,100,,,,,,,
20-Mar-19,8,4D,Acer,4,8,100,,,,,,,
20-Mar-19,8,4D,Rhodo,4,7,87.5,,,,,,,
28-Mar-19,16,0A,Acer,0,8,100,,,,,,,
28-Mar-19,16,0A,Rhodo,0,8,100,,,,,,,
28-Mar-19,16,0B,Acer,0,8,100,,,,,,,
28-Mar-19,16,0B,Rhodo,0,8,100,,,,,,,
28-Mar-19,16,0C,Acer,0,8,100,,,,,,,
28-Mar-19,16,0C,Rhodo,0,7,87.5,esc?,,,,,,
28-Mar-19,16,0D,Acer,0,8,100,,,,,,,
28-Mar-19,16,0D,Rhodo,0,8,100,,,,,,,
28-Mar-19,16,1A,Acer,1,8,100,,,,,,,
28-Mar-19,16,1A,Rhodo,1,8,100,,,,,,,
28-Mar-19,16,1B,Acer,1,8,100,,,,,,,
28-Mar-19,16,1B,Rhodo,1,8,100,,,,,,,
28-Mar-19,16,1C,Acer,1,8,100,,,,,,,
28-Mar-19,16,1C,Rhodo,1,8,100,,,,,,,
28-Mar-19,16,1D,Acer,1,8,100,,,,,,,
28-Mar-19,16,1D,Rhodo,1,7,87.5,,,,,,,
28-Mar-19,16,2A,Acer,2,7,87.5,,,,,,,
28-Mar-19,16,2A,Rhodo,2,8,100,,,,,,,
28-Mar-19,16,2B,Acer,2,7,87.5,esc?,,,,,,
28-Mar-19,16,2B,Rhodo,2,7,87.5,esc?,,,,,,
28-Mar-19,16,2C,Acer,2,8,100,,,,,,,
28-Mar-19,16,2C,Rhodo,2,8,100,,,,,,,
28-Mar-19,16,2D,Acer,2,8,100,,,,,,,
28-Mar-19,16,2D,Rhodo,2,8,100,,,,,,,
28-Mar-19,16,3A,Acer,3,8,100,,,,,,,
28-Mar-19,16,3A,Rhodo,3,8,100,,,,,,,
28-Mar-19,16,3B,Acer,3,8,100,,,,,,,
28-Mar-19,16,3B,Rhodo,3,8,100,,,,,,,
28-Mar-19,16,3C,Acer,3,8,100,,,,,,,
28-Mar-19,16,3C,Rhodo,3,8,100,,,,,,,
28-Mar-19,16,3D,Acer,3,8,100,,,,,,,
28-Mar-19,16,3D,Rhodo,3,8,100,,,,,,,
28-Mar-19,16,4A,Acer,4,8,100,,,,,,,
