"","Beg.Date","End.Date","Days.in.expt","Temp.TRT","Channel","Chamber","Leaf.spp.","Beg.Length.mm","End.Length.mm","beg.mass.mg","end.mass.mg","BWP.end.","igr"
"1","12-Mar-19","17-Apr-19",36,2,"2A","A003","Acer",8.123,8.432,7.64227693039365,8.50122920751516,"N",0.00295875498261754
"2","12-Mar-19","17-Apr-19",36,2,"2A","A004","Acer",8.219,8.034,7.90278707968859,7.40580433328196,"N",-0.00180420638991982
"3","12-Mar-19","17-Apr-19",36,2,"2A","A005","Acer",7.386,8.095,5.82604013735009,7.56736029202794,"N",0.00726407645291375
"4","12-Mar-19","17-Apr-19",36,2,"2A","A008","Acer",9.81,9.201,13.0928263533731,10.9049347805044,"N",-0.00507914040733102
"5","12-Mar-19","17-Apr-19",36,0,"0C","A014","Acer",8.495,8.301,8.68370101884418,8.12981757698968,"N",-0.00183081492784149
"6","12-Mar-19","17-Apr-19",36,0,"0C","A015","Acer",7.581,7.967,6.27568916513064,7.23095807160538,"N",0.00393578429593192
"7","12-Mar-19","17-Apr-19",36,0,"0C","A017","Acer",7.078,6.887,5.15936855897776,4.77201232506337,"N",-0.00216794757483632
"8","12-Mar-19","17-Apr-19",36,0,"0C","A018","Acer",8.053,7.471,7.45588233257709,6.01937312474273,"N",-0.00594500483021469
"9","12-Mar-19","17-Apr-19",36,0,"0C","A019","Acer",8.252,8.374,7.99365098901386,8.33545775858793,"N",0.00116307873674473
"10","12-Mar-19","17-Apr-19",36,0,"0C","A020","Acer",7.477,7.504,6.03317533543535,6.09553965169401,"N",0.000285662147626986
"11","12-Mar-19","17-Apr-19",36,4,"4D","A024","Acer",7.138,7.79,5.28512920441753,6.78200486017907,"Y",0.00692710260906405
"12","12-Mar-19","17-Apr-19",36,4,"4D","A029","Acer",7.745,8.089,6.67082960020396,7.55136904609646,"N",0.00344401798323345
"13","12-Mar-19","17-Apr-19",36,3,"3D","A035","Acer",7.638,9.303,6.41124956930307,11.2533858173725,"N",0.0156281903436605
"14","12-Mar-19","17-Apr-19",36,3,"3D","A036","Acer",8.402,9.08,8.41522065338298,10.5007581425851,"N",0.00615015027438142
"15","12-Mar-19","17-Apr-19",36,3,"3D","A040","Acer",7.891,8.182,7.03589662085587,7.80171017244887,"N",0.00286993968498848
"16","12-Mar-19","17-Apr-19",36,0,"0A","A043","Acer",7.886,7.894,7.0231849044319,7.04353081845449,"N",0.0000803548864786791
"17","12-Mar-19","17-Apr-19",36,0,"0A","A044","Acer",9.041,9.172,10.3725925057689,10.8071617938751,"N",0.00114005699630397
"18","12-Mar-19","17-Apr-19",36,0,"0A","A045","Acer",8.184,8.812,7.80715219649334,9.64049304299283,"N",0.00585922197304363
"19","12-Mar-19","17-Apr-19",36,0,"0A","A046","Acer",7.776,8.476,6.74728906821027,8.62840465957186,"N",0.00683107842989724
"20","12-Mar-19","17-Apr-19",36,0,"0A","A047","Acer",8.376,8.334,8.34113875300383,8.22236505060738,"N",-0.000398385040011933
"21","12-Mar-19","17-Apr-19",36,0,"0A","A048","Acer",8.049,8.872,7.44532137668617,9.82895086386852,"N",0.00771517690246519
"22","12-Mar-19","17-Apr-19",36,0,"0A","A049","Acer",8.256,8.522,8.00471067388097,8.76267520674017,"N",0.00251308457232718
"23","12-Mar-19","17-Apr-19",36,0,"0A","A050","Acer",8.022,7.713,7.37428897442452,6.59249629373383,"N",-0.00311298361888292
"24","12-Mar-19","17-Apr-19",36,0,"0D","A053","Acer",8.532,8.397,8.79204284460708,8.4009410833728,"N",-0.00126398213655849
"25","12-Mar-19","17-Apr-19",36,0,"0D","A054","Acer",7.788,9.573,6.77703837554253,12.2104548477049,"N",0.0163542319650003
"26","12-Mar-19","17-Apr-19",36,0,"0D","A055","Acer",6.837,7.218,4.67383341713323,5.45588342285716,"N",0.00429763773264849
"27","12-Mar-19","17-Apr-19",36,0,"0D","A056","Acer",7.022,7.078,5.04376059118528,5.15936855897776,"N",0.000629506856029718
"28","12-Mar-19","17-Apr-19",36,0,"0D","A057","Acer",8.802,8.355,9.60931349494849,8.28161360638118,"N",-0.00413041540256725
"29","12-Mar-19","17-Apr-19",36,0,"0D","A058","Acer",7.899,7.795,7.05626643295539,6.79443141237598,"N",-0.00105035308379897
"30","12-Mar-19","17-Apr-19",36,0,"0D","A060","Acer",8.837,8.078,9.71872919988031,7.52210879781315,"N",-0.00711689848002571
"31","12-Mar-19","17-Apr-19",36,2,"2B","A063","Acer",8.138,8.763,7.68260822194986,9.48833919426456,"N",0.00586401360266658
"32","12-Mar-19","17-Apr-19",36,2,"2B","A065","Acer",7.407,7.775,5.87342380675756,6.74481379529594,"N",0.00384267075345606
"33","12-Mar-19","17-Apr-19",36,2,"2B","A067","Acer",7.57,8.35,6.2497446600401,8.26748174198057,"N",0.00777192635951247
"34","12-Mar-19","17-Apr-19",36,2,"2B","A069","Acer",8.044,8.28,7.43213385104964,8.07127753080408,"N",0.00229163234657592
"35","12-Mar-19","17-Apr-19",36,3,"3A","A075","Acer",8.047,8.586,7.44004454425426,8.95173304570524,"N",0.00513806427709107
"36","12-Mar-19","17-Apr-19",36,3,"3A","A076","Acer",8.628,9.033,9.07723019591055,10.3464283632534,"N",0.00363534091403312
"37","12-Mar-19","17-Apr-19",36,3,"3A","A078","Acer",7.79,7.814,6.78200486017907,6.84178716186366,"N",0.00024378383745509
"38","12-Mar-19","17-Apr-19",36,3,"3A","A079","Acer",7.877,8.383,7.00034142247177,8.3610420356602,"N",0.00493400395106173
"39","12-Mar-19","17-Apr-19",36,3,"3A","A080","Acer",8.668,8.989,9.19780841401717,10.2032915941921,"N",0.00288180927043413
"40","12-Mar-19","17-Apr-19",36,2,"2C","A084","Acer",7.59,7.668,6.29696843867286,6.48335456588951,"N",0.000810270526736878
"41","12-Mar-19","17-Apr-19",36,2,"2C","A085","Acer",9.022,9.508,10.310522712578,11.9754030913651,"N",0.00415805020805566
"42","12-Mar-19","17-Apr-19",36,2,"2C","A088","Acer",8.34,7.79,8.23926502042383,6.78200486017907,"N",-0.00540662175167387
"43","12-Mar-19","17-Apr-19",36,2,"2C","A089","Acer",7.777,7.306,6.74976493104581,5.6478066753448,"N",-0.00495112245867245
"44","12-Mar-19","17-Apr-19",36,2,"2C","A090","Acer",8.332,8.135,8.2167367347804,7.67453093175229,"N",-0.00189627678117216
"45","12-Mar-19","17-Apr-19",36,1,"1A","A093","Acer",7.538,7.613,6.1746660993962,6.35156156962027,"N",0.000784608085221202
"46","12-Mar-19","17-Apr-19",36,1,"1A","A094","Acer",7.6,7.32,6.32066697501647,5.67873815813353,"N",-0.0029748801060359
"47","12-Mar-19","17-Apr-19",36,1,"1A","A096","Acer",8.772,8.429,9.51616801808879,8.49260277984055,"N",-0.00316102014606851
"48","12-Mar-19","17-Apr-19",36,1,"1A","A097","Acer",7.884,8.222,7.01810439753969,7.91101956921982,"N",0.00332676436042811
"49","12-Mar-19","17-Apr-19",36,1,"1A","A098","Acer",7.585,7.927,6.28514084443556,7.12786231949772,"N",0.00349508675357096
"50","12-Mar-19","17-Apr-19",36,4,"4C","A105","Acer",7.605,7.787,6.33253793335696,6.77455601930309,"N",0.00187424275752474
"51","12-Mar-19","17-Apr-19",36,4,"4C","A106","Acer",7.88,8.828,7.00795054607496,9.69051686456587,"Y",0.00900284632358265
"52","12-Mar-19","17-Apr-19",36,1,"1B","A113","Acer",8.594,9.226,8.97554981478888,10.9896814381857,"N",0.00562368300778893
"53","12-Mar-19","17-Apr-19",36,1,"1B","A114","Acer",7.959,8.312,7.21026196409795,8.16059114971292,"N",0.00343920353037721
"54","12-Mar-19","17-Apr-19",36,1,"1B","A116","Acer",7.908,7.799,7.07922821039158,6.80438329445457,"N",-0.00109994125808075
"55","12-Mar-19","17-Apr-19",36,1,"1B","A117","Acer",9.084,8.678,10.5139611787675,9.22811460379566,"N",-0.00362359029672188
"56","12-Mar-19","17-Apr-19",36,1,"1B","A118","Acer",8.387,9.089,8.37242917624545,10.5304801300242,"N",0.00637027374839794
"57","12-Mar-19","17-Apr-19",36,1,"1B","A119","Acer",8.457,8.249,8.57333750999212,7.98536274177045,"N",-0.00197352470377813
"58","12-Mar-19","17-Apr-19",36,1,"1B","A120","Acer",7.782,7.854,6.76215309630633,6.94218301824671,"N",0.000729859341281391
"59","12-Mar-19","17-Apr-19",36,1,"1C","A123","Acer",7.384,7.297,5.82154040196369,5.62798005655481,"N",-0.000939286249052645
